Sexo;Edad;Nacionalidad;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total;90 años;Total;Total Nacional;;;2023;140.983
Total;90 años;Española;Total Nacional;;;2023;138.912
Total;90 años;Extranjera;Total Nacional;;;2023;2.071
Total;91 años;Total;Total Nacional;;;2023;113.705
Total;91 años;Española;Total Nacional;;;2023;112.124
Total;91 años;Extranjera;Total Nacional;;;2023;1.581
Total;92 años;Total;Total Nacional;;;2023;95.452
Total;92 años;Española;Total Nacional;;;2023;94.009
Total;92 años;Extranjera;Total Nacional;;;2023;1.443
Total;93 años;Total;Total Nacional;;;2023;73.321
Total;93 años;Española;Total Nacional;;;2023;72.355
Total;93 años;Extranjera;Total Nacional;;;2023;966
Total;94 años;Total;Total Nacional;;;2023;57.958
Total;94 años;Española;Total Nacional;;;2023;57.192
Total;94 años;Extranjera;Total Nacional;;;2023;766
Total;95 años;Total;Total Nacional;;;2023;41.723
Total;95 años;Española;Total Nacional;;;2023;41.191
Total;95 años;Extranjera;Total Nacional;;;2023;532
Total;96 años;Total;Total Nacional;;;2023;31.332
Total;96 años;Española;Total Nacional;;;2023;30.926
Total;96 años;Extranjera;Total Nacional;;;2023;406
Total;97 años;Total;Total Nacional;;;2023;21.992
Total;97 años;Española;Total Nacional;;;2023;21.750
Total;97 años;Extranjera;Total Nacional;;;2023;242
Total;98 años;Total;Total Nacional;;;2023;15.541
Total;98 años;Española;Total Nacional;;;2023;15.370
Total;98 años;Extranjera;Total Nacional;;;2023;171
Total;99 años;Total;Total Nacional;;;2023;10.614
Total;99 años;Española;Total Nacional;;;2023;10.487
Total;99 años;Extranjera;Total Nacional;;;2023;127
Total;100 y más años;Total;Total Nacional;;;2023;14.660
Total;100 y más años;Española;Total Nacional;;;2023;14.416
Total;100 y más años;Extranjera;Total Nacional;;;2023;244
Hombres;Todas las edades;Total;Total Nacional;;;2023;23.565.593
Hombres;Todas las edades;Española;Total Nacional;;;2023;20.522.182
Hombres;Todas las edades;Extranjera;Total Nacional;;;2023;3.043.411
Hombres;0 años;Total;Total Nacional;;;2023;169.800
Hombres;0 años;Española;Total Nacional;;;2023;144.152
Hombres;0 años;Extranjera;Total Nacional;;;2023;25.648
Hombres;1 año;Total;Total Nacional;;;2023;178.921
Hombres;1 año;Española;Total Nacional;;;2023;152.176
Hombres;1 año;Extranjera;Total Nacional;;;2023;26.745
Hombres;2 años;Total;Total Nacional;;;2023;178.154
Hombres;2 años;Española;Total Nacional;;;2023;151.101
Hombres;2 años;Extranjera;Total Nacional;;;2023;27.053
Hombres;3 años;Total;Total Nacional;;;2023;190.572
Hombres;3 años;Española;Total Nacional;;;2023;162.604
Hombres;3 años;Extranjera;Total Nacional;;;2023;27.968
Hombres;4 años;Total;Total Nacional;;;2023;200.440
